日付,曜日,時間,形式,イベント,内容,場所,高校,担当,状況
2026/10/04,日,,講師,鹿児島デジタルの日,BIPROGY 高枝様・シンクプラス 高橋様の案件,鹿児島,鹿児島純心女子高校,ケイト・高橋様,
2026/10/13,火,10:30〜16:30,研修,全体会 フェスタ研修,スクーミー社内のメンバーもローリングローバーに触る,山梨,―,シオ,実施決定
2026/10/24,土,,講師,ATCロボットストリート2026（1日目）,ダンボールコントローラー日本イチ決定戦 月面探査ミッション,大阪 ATC ITM棟,樟蔭高校・電通高校,ケイト,出展決定
2026/10/25,日,,講師,ATCロボットストリート2026（2日目）,ダンボールコントローラー日本イチ決定戦 月面探査ミッション,大阪 ATC ITM棟,樟蔭高校・電通高校,ケイト,出展決定
2026/11/07,土,,講師,青少年のための科学の祭典 第16回ひたちなか大会（1日目）,月面探査ローバーをつくろう ─ センサーで月を調べる,ひたちなか市総合体育館,調整中,コウキ・ケイト,出展決定
2026/11/08,日,,講師,青少年のための科学の祭典 第16回ひたちなか大会（2日目）,月面探査ローバーをつくろう ─ センサーで月を調べる,ひたちなか市総合体育館,調整中,ケイト,出展決定
2026/11/13,金,11:15〜12:30,展示,第70回 宇宙科学技術連合講演会 ジュニアセッション,月面探査ローバーの発表,ライトキューブ宇都宮 1Fホワイエ,麗澤高校・大成高校（打診中）,―,申込締切 9月下旬
2026/11/14,土,,展示,第34回 衛星設計コンテスト 最終審査会 企業展示,"協賛 30,000円",ライトキューブ宇都宮,麗澤高校・大成高校（打診中）,シオ・コーサカ,協賛確定
2026/11/28,土,10:00〜16:00,展示,ロボット・航空宇宙フェスタふくしま2026（一般向け）,出展料無料・キャンセル待ち受付,ビッグパレットふくしま（郡山）,調整中,―,事務局に問い合わせ中
2026/11/29,日,,講師,ホンダ祭り,ローバー企画,栃木,調整中,ケイト,実施決定
2026/12,,,講師,宇宙関連フェスタ in 仙台（自主開催）,宮城教育大学と組んで立てる,仙台,調整中,―,日程・会場を調整中
